,fz_ptl_ratio,fz_ptl_tok_sort_ratio,fz_ratio,fz_tok_set_ratio,fz_uwratio,pub0_cln,publisher0,ven_cln,vendor_X,match,ven_len,pu0_len
119,60,100,56,43,90,  maniactools,maniactools.com,  act,act,0,3,15
120,60,100,53,40,90,  manufacturer,manufacturer,  act,act,0,3,12
121,60,100,71,60,90,  contact,media contact llc,  act,act,0,3,17
122,60,100,29,19,60,  microsoft patterns practices,microsoft patterns & practices,  act,act,0,3,30
123,80,100,50,38,90,  mobile action,mobile action,  act,act,0,3,13
124,60,100,48,35,90,  mystic fractal,mystic fractal,  act,act,0,3,14
125,60,100,63,50,90,  profactor,profactor gmbh,  act,act,0,3,14
126,60,100,63,50,90,  profactor,profactor software ltd,  act,act,0,3,22
127,60,100,53,40,90,  reactor zero,reactor zero,  act,act,0,3,12
128,60,100,38,27,90,  refactored games oü,refactored games oü,  act,act,0,3,20
129,60,100,71,60,90,  refract,refract,  act,act,0,3,7
130,60,100,59,46,90,  refractive,refractive software,  act,act,0,3,19
131,80,100,53,40,90,  rogue factor,rogue factor,  act,act,0,3,12
132,60,100,38,27,90,  shoppingdealfactory,shoppingdealfactory,  act,act,0,3,19
133,80,100,71,60,90,  factory,software factory,  act,act,0,3,16
134,80,100,37,26,90,  sports tactics board,sports tactics board,  act,act,0,3,20
135,60,100,37,26,90,  surreal distractions,surreal distractions,  act,act,0,3,20
136,60,100,42,30,90,  fractal alligator,team fractal alligator,  act,act,0,3,22
137,60,100,33,23,90,  tesseract-ocr community,tesseract-ocr community,  act,act,0,3,23
138,60,100,50,38,90,  thawneinfract,thawneinfract,  act,act,0,3,13
139,60,100,37,26,90,  cgal geometryfactory,the cgal project and geometryfactory,  act,act,0,3,36
140,60,100,53,40,90,  wavesfactory,wavesfactory,  act,act,0,3,12
141,60,100,36,25,90,  videowatermarkfactory,www.videowatermarkfactory.com,  act,act,0,3,29
142,81,44,55,80,85,  active data recovery,active data recovery software,  active 24,active 24 project,0,17,29
143,45,55,37,52,85,  24 caret games,24 caret games,  active 24,active_24_project,0,17,14
144,100,100,100,100,100,  activestate,activestate,  activestate,activestate,1,11,11
145,100,100,100,100,100,  activestate,activestate corp.,  activestate,activestate,1,11,17
146,100,100,100,100,100,  activestate,activestate corporation,  activestate,activestate,1,11,23
147,100,100,100,100,100,  activestate,activestate software inc.,  activestate,activestate,1,11,25
148,100,100,100,100,100,  activision,activision,  activision,activision,1,10,10
149,100,100,100,100,100,  activision,"activision, inc.",  activision,activision,1,10,16
150,47,40,44,42,39,  adam spragg games,adam spragg games,  adam zaninovich,adam zaninovich,0,15,17
151,47,46,45,42,39,  bukox adam bukowiñski,bukox.net adam bukowiñski,  adam zaninovich,adam_zaninovich,0,15,25
152,93,100,94,100,100,  add-in express,add-in express ltd,  add in express,add-in-express,1,14,18
153,93,100,94,100,100,  add-in express,add-in express ltd.,  add in express,add-in-express,1,14,19
154,50,42,35,38,85,  bastien mensink must in every office bv,bastien mensink - a must in every office bv,  add in express,add-in-express,0,14,43
155,50,50,59,47,53,  cat in jar games,cat in jar games,  add in express,add-in-express,0,14,16
156,43,35,42,34,34,  chicken in corn,chicken in the corn,  add in express,add-in-express,0,14,19
157,37,42,23,25,85,  copy files to multiple folder locations in batch or move multiple files in bulk,copy files to multiple folder locations in batch or move multiple files in bulk software !,  add in express,add-in-express,0,14,90
158,50,64,63,67,63,  developer express,developer express inc.,  add in express,add-in-express,0,14,22
159,50,64,63,67,63,  developer express,"developer express, inc",  add in express,add-in-express,0,14,22
160,75,57,50,46,85,  fade in professional screenwriting,fade in professional screenwriting software,  add in express,add-in-express,0,14,43
161,50,42,50,43,43,  friends in war,friends in war,  add in express,add-in-express,0,14,14
162,50,35,50,36,43,  game in bottle,game in a bottle,  add in express,add-in-express,0,14,16
163,37,35,25,27,85,  ivory tower in collaboration with ubisoft reflections,ivory tower in collaboration with ubisoft reflections,  add in express,add-in-express,0,14,53
164,56,57,59,53,53,  just add drivers,just add drivers inc.,  add in express,add-in-express,0,14,21
165,50,57,49,49,85,  just add water developments,"just add water (developments), ltd.",  add in express,add-in-express,0,14,35
166,37,42,39,38,85,  kot in action creative artel,kot in action creative artel,  add in express,add-in-express,0,14,28
167,43,35,37,35,33,  no more room in hell,no more room in hell team,  add in express,add-in-express,0,14,25
168,43,35,31,30,85,  redlynx in collaboration with ubisoft shanghai,"redlynx, in collaboration with  ubisoft shanghai",  add in express,add-in-express,0,14,48
169,43,35,26,31,85,  redlynx in collaboration with ubisoft shanghai ubisoft kiev,"redlynx, in collaboration with  ubisoft shanghai, ubisoft kiev",  add in express,add-in-express,0,14,62
170,43,28,39,44,41,  research in motion,research in motion,  add in express,add-in-express,0,14,18
171,43,28,39,44,41,  research in motion,research in motion inc.,  add in express,add-in-express,0,14,23
172,43,28,39,44,41,  research in motion,research in motion limited,  add in express,add-in-express,0,14,26
173,43,28,39,44,41,  research in motion,research in motion ltd,  add in express,add-in-express,0,14,22
174,43,28,39,44,41,  research in motion,research in motion ltd.,  add in express,add-in-express,0,14,23
175,56,21,56,44,50,  rhapsody in design,"rhapsody in design, llc",  add in express,add-in-express,0,14,23
176,50,35,50,43,43,  sounds in sync,sounds in sync,  add in express,add-in-express,0,14,14
177,43,21,48,41,41,  storm in teacup,storm in a teacup,  add in express,add-in-express,0,14,17
178,50,42,17,25,57,  ubisoft quebec in collaboration with ubisoft annecy bucharest kiev montreal montpellier shanghai singapore sofia toronto,"ubisoft quebec, in collaboration with ubisoft annecy, bucharest, kiev, montreal, montpellier, shanghai, singapore, sofia, toronto studios",  add in express,add-in-express,0,14,137
179,100,100,100,100,100,  adersoft,adersoft,  adersoft,adersoft,1,8,8
180,80,100,67,62,90,  iquploadersoftware,iquploadersoftware,  adersoft,adersoft,0,8,18
181,100,100,100,100,100,  adiscon,adiscon gmbh,  adiscon,adiscon,1,7,12
182,58,50,29,33,85,  istituto di calcolo ad alte prestazioni icar-cnr,istituto di calcolo ad alte prestazioni (icar-cnr),  ad manager,ad-manager project,0,18,50
183,58,50,64,58,58,  ad annihilator,"ad annihilator software, inc.",  ad manager,ad-manager_project,0,18,29
184,50,60,48,37,85,  ad on multimedia advertising,ad on multimedia advertising gmbh,  ad manager,ad-manager_project,0,18,33
185,50,50,50,50,47,  ciela norma ad,ciela norma ad,  ad manager,ad-manager_project,0,18,14
186,66,80,79,82,77,  driver manager,driver manager,  ad manager,ad-manager_project,0,18,14
187,66,80,65,82,85,  font manager work,font manager work group,  ad manager,ad-manager_project,0,18,23
188,66,80,51,82,85,  mobile connection manager,mobile connection manager,  ad manager,ad-manager_project,0,18,25
189,66,70,74,82,77,  nosql manager,nosql manager group,  ad manager,ad-manager_project,0,18,19
190,66,70,71,82,77,  soccer manager,soccer manager ltd,  ad manager,ad-manager_project,0,18,18
191,33,50,33,50,47,  telerik ad,telerik ad,  ad manager,ad-manager_project,0,18,10
192,66,70,77,82,77,  virt manager,virt manager project,  ad manager,ad-manager_project,0,18,20
193,53,45,29,31,85,  istituto di calcolo ad alte prestazioni icar-cnr,istituto di calcolo ad alte prestazioni (icar-cnr),  ad minister,ad-minister project,0,19,50
194,53,45,62,56,56,  ad annihilator,"ad annihilator software, inc.",  ad minister,ad-minister_project,0,19,29
195,53,45,47,36,85,  ad on multimedia advertising,ad on multimedia advertising gmbh,  ad minister,ad-minister_project,0,19,33
196,46,45,41,48,45,  ciela norma ad,ciela norma ad,  ad minister,ad-minister_project,0,19,14
197,100,100,100,100,100,  adobe,adobe,  adobe,adobe,1,5,5
198,100,100,100,100,100,  adobe,adobe inc.,  adobe,adobe,1,5,10
199,100,100,41,100,90,  adobe system incorporated,adobe system incorporated,  adobe,adobe,1,5,25
200,100,100,100,100,100,  adobe,adobe systems,  adobe,adobe,1,5,13
201,100,100,100,100,100,  adobe,adobe systems inc.,  adobe,adobe,1,5,18
202,100,100,52,100,90,  adobe incorporated,adobe systems incorporated,  adobe,adobe,1,5,26
203,100,100,52,100,90,  adobe incorporated,adobe systems incorporated.,  adobe,adobe,1,5,27
204,100,100,24,100,60,  adobe incorporated\tꙗ燴e耀calrpc:[lsapolicylookup],adobe systems incorporated\tꙗ燴e耀calrpc:[lsapolicylookup],  adobe,adobe,1,5,63
205,100,100,50,100,90,  adobe incorporatedi,adobe systems incorporatedi,  adobe,adobe,1,5,27
206,100,100,100,100,100,  adobe,"adobe systems, inc",  adobe,adobe,1,5,18
207,100,100,100,100,100,  adobe,"adobe systems, inc.",  adobe,adobe,1,5,19
208,100,100,52,100,90,  adobe incorporated,"adobe systems, incorporated",  adobe,adobe,1,5,27
209,100,100,100,100,100,  adobe,"adobe, inc.",  adobe,adobe,1,5,11
210,85,100,42,100,90,  neolane an adobe company,"neolane, an adobe company",  adobe,adobe,1,5,25
211,59,56,59,56,56,  advanced brain monitoring,advanced brain monitoring,  advanced forum signatures,advanced_forum_signatures_project,0,33,25
212,59,56,55,48,52,  advanced distributed learning adl,advanced distributed learning (adl),  advanced forum signatures,advanced_forum_signatures_project,0,33,35
213,59,52,61,54,58,  advanced mouse auto clicker,advanced mouse auto clicker ltd.,  advanced forum signatures,advanced_forum_signatures_project,0,33,32
214,59,52,61,54,58,  advanced mouse auto clicker,"advanced mouse auto clicker, ltd.",  advanced forum signatures,advanced_forum_signatures_project,0,33,33
215,52,60,49,60,57,  matrix games advanced gaming,"matrix games, advanced gaming systems, inc.",  advanced forum signatures,advanced_forum_signatures_project,0,33,43
216,77,87,59,86,85,"  ooo program verification systems""""","ooo program verification systems""""",  age verification,age_verification_project,0,24,34
217,100,100,43,32,90,  agile innovative,agile innovative ltd,  agi,agi,0,3,20
218,100,100,63,50,90,  agilebits,agilebits,  agi,agi,0,3,9
219,100,100,71,60,90,  agisoft,agisoft,  agi,agi,0,3,7
220,60,100,48,35,90,  ardfry imaging,"ardfry imaging, llc",  agi,agi,0,3,19
221,80,100,53,40,90,  beyond magic,beyond magic limited,  agi,agi,0,3,20
222,60,100,77,67,90,  bizagi,bizagi limited,  agi,agi,0,3,14
223,60,100,42,30,90,  blackmagic design,blackmagic design,  agi,agi,0,3,17
224,60,100,53,40,90,  contextmagic,contextmagic.com,  agi,agi,0,3,16
225,60,100,38,27,90,  detectareplagiat ro,detectareplagiat.ro,  agi,agi,0,3,19
226,60,100,38,27,90,  dimensional imaging,dimensional imaging,  agi,agi,0,3,19
227,60,100,53,40,90,  dino nuhagic,dino nuhagic,  agi,agi,0,3,12
228,60,100,42,30,90,  dino nuhagic nuhi,dino nuhagic (nuhi),  agi,agi,0,3,19
229,60,100,33,23,90,  electronics for imaging,electronics for imaging,  agi,agi,0,3,23
230,60,100,56,43,90,  everimaging,"everimaging co., ltd.",  agi,agi,0,3,21
231,60,100,59,46,90,  extramagic,extramagic team,  agi,agi,0,3,15
232,60,100,48,35,90,  graphicsmagick,graphicsmagick group,  agi,agi,0,3,20
233,80,100,67,55,90,  im magic,im magic inc.,  agi,agi,0,3,13
234,60,100,56,43,90,  imagemagick,imagemagick studio llc,  agi,agi,0,3,22
235,60,100,56,43,90,  imagination,imagination,  agi,agi,0,3,11
236,60,100,56,43,90,  imagination,imagination technologies,  agi,agi,0,3,24
237,60,100,63,50,90,  imagineer,imagineer systems,  agi,agi,0,3,17
238,60,100,43,32,90,  imaginova canada,imaginova canada ltd.,  agi,agi,0,3,21
239,60,100,37,26,90,  incandescent imaging,incandescent imaging,  agi,agi,0,3,20
240,60,100,53,40,90,  infragistics,"infragistics, inc.",  agi,agi,0,3,18
241,60,100,53,40,90,  innomagic bt,innomagic bt.,  agi,agi,0,3,13
242,60,100,38,27,90,  intelligent imaging,intelligent imaging solutions,  agi,agi,0,3,29
243,60,100,53,40,90,  leaf imaging,leaf imaging ltd.,  agi,agi,0,3,17
244,80,100,63,50,90,  magic dvd,"magic dvd software, inc.",  agi,agi,0,3,24
245,80,100,45,33,90,  magic hills pty,magic hills pty ltd,  agi,agi,0,3,19
246,80,100,56,43,90,  magic indie,magic indie,  agi,agi,0,3,11
247,80,100,53,40,90,  magic notion,magic notion,  agi,agi,0,3,12
248,80,100,83,75,90,  magic,magic technology,  agi,agi,0,3,16
249,80,100,40,29,90,  magical jelly bean,magical jelly bean,  agi,agi,0,3,18
250,80,100,42,30,90,  magical time bean,magical time bean,  agi,agi,0,3,17
251,80,100,45,33,90,  magicaltimebean,magicaltimebean,  agi,agi,0,3,15
252,80,100,67,55,90,  magicard,magicard,  agi,agi,0,3,8
253,80,100,67,55,90,  magicbit,magicbit,  agi,agi,0,3,8
254,80,100,50,38,90,  magiko gaming,magiko gaming,  agi,agi,0,3,13
255,80,100,83,75,90,  magix,magix,  agi,agi,0,3,5
256,80,100,67,55,90,  magix ag,magix ag,  agi,agi,0,3,8
257,80,100,83,75,90,  magix,magix development gmbh,  agi,agi,0,3,22
258,80,100,83,75,90,  magix,magix software gmbh,  agi,agi,0,3,19
259,80,100,40,29,90,  marcelo laginestra,marcelo laginestra,  agi,agi,0,3,18
260,80,100,67,55,90,  no magic,no magic inc.,  agi,agi,0,3,13
261,80,100,67,55,90,  no magic,"no magic, inc.",  agi,agi,0,3,14
262,60,100,45,33,90,  olympus imaging,olympus imaging corp.,  agi,agi,0,3,21
263,80,100,50,38,90,  santa ragione,santa ragione,  agi,agi,0,3,13
264,60,100,71,60,90,  somagic,somagic,  agi,agi,0,3,7
265,60,100,50,38,90,  stoik imaging,stoik imaging,  agi,agi,0,3,13
266,60,100,53,40,90,  umagine kaop,umagine kaop,  agi,agi,0,3,12
267,80,100,53,40,90,  vector magic,"vector magic, inc.",  agi,agi,0,3,18
268,60,100,34,24,90,  vis visual imagination,vis - visual imagination software,  agi,agi,0,3,33
269,60,100,67,55,90,  winmagic,winmagic,  agi,agi,0,3,8
270,60,100,67,55,90,  winmagic,winmagic inc.,  agi,agi,0,3,13
271,60,100,53,40,90,  winsoftmagic,winsoftmagic inc.,  agi,agi,0,3,17
272,60,100,50,38,90,  zebra imaging,zebra imaging,  agi,agi,0,3,13
273,100,100,100,100,100,  agilebits,agilebits,  agilebits,agilebits,1,9,9
274,36,30,36,34,32,  10tacle publishing ag,10tacle studios publishing ag,  ag klettern odenwald,ag-klettern-odenwald,0,20,29
275,36,40,31,37,85,  deutsche telekom ag marmiko it-solutions,"deutsche telekom ag, marmiko it-solutions gmbh",  ag klettern odenwald,ag-klettern-odenwald,0,20,46
276,40,45,43,47,44,  infernum productions ag,infernum productions ag,  ag klettern odenwald,ag-klettern-odenwald,0,20,23
277,36,35,36,34,32,  jowood productions ag,jowood productions software ag,  ag klettern odenwald,ag-klettern-odenwald,0,20,30
278,36,35,36,34,32,  zf friedrichshafen ag,zf friedrichshafen ag,  ag klettern odenwald,ag-klettern-odenwald,0,20,21
279,66,100,67,57,90,  brainspawn,brainspawn,  ains,ains,0,4,10
280,66,100,44,35,90,  chainsawesome games,chainsawesome games,  ains,ains,0,4,19
281,66,100,55,44,90,  computerbrains,computerbrains c.c.s.,  ains,ains,0,4,21
282,66,100,57,47,90,  datainspector,datainspector,  ains,ains,0,4,13
283,66,100,71,62,90,  jetbrains,jetbrains,  ains,ains,0,4,9
284,66,100,71,62,90,  jetbrains,jetbrains inc,  ains,ains,0,4,13
285,66,100,71,62,90,  jetbrains,jetbrains s.r.o,  ains,ains,0,4,15
286,66,100,71,62,90,  jetbrains,jetbrains s.r.o.,  ains,ains,0,4,16
287,66,100,67,57,90,  playbrains,playbrains,  ains,ains,0,4,10
288,66,100,63,53,90,  skillbrains,skillbrains,  ains,ains,0,4,11
289,57,41,53,40,46,  air music tech,air music tech gmbh,  air war hero,air war hero project,0,20,19
290,44,50,47,46,43,  friends in war,friends in war,  air war hero,air_war_hero_project,0,20,14
291,46,36,45,44,41,  ocs inventory ng,ocs inventory ng team,  aircrack ng,aircrack-ng,0,11,21
292,63,55,67,61,85,  air music tech,air music tech gmbh,  air watch,air-watch,0,9,19
293,63,55,64,56,56,  air music,air music technology,  air watch,air-watch,0,9,20
294,55,71,67,67,63,  [geim] pro,[geim].pro,  ait pro,ait-pro,0,7,10
295,77,85,67,60,85,  cool edit pro,"cool edit pro, inc.",  ait pro,ait-pro,0,7,19
296,66,71,43,60,85,  d-i-v-x avi codec pack pro,d-i-v-x avi codec pack pro,  ait pro,ait-pro,0,7,26
297,55,71,67,60,59,  enrich pro,enrich pro,  ait pro,ait-pro,0,7,10
298,66,57,74,67,67,  imgn pro,imgn.pro,  ait pro,ait-pro,0,7,8
299,66,57,59,60,85,  pc utilities pro,pc utilities pro,  ait pro,ait-pro,0,7,16
300,66,57,67,60,57,  pdf pro,pdf pro software,  ait pro,ait-pro,0,7,16
301,55,57,40,60,85,  pro pc cleaner,pro pc cleaner,  ait pro,ait-pro,0,7,14
302,66,42,61,60,85,  super tv pro,super tv pro,  ait pro,ait-pro,0,7,12
303,55,42,64,60,85,  vidcrop pro,vidcrop pro,  ait pro,ait-pro,0,7,11
304,60,69,69,76,72,  office timeline,office timeline,  ajax timeline,ajax_timeline_project,0,21,15
305,66,100,60,50,90,  don whitaker,don whitaker,  aker,aker,0,4,12
306,83,100,50,40,90,  easy video maker,easy video maker,  aker,aker,0,4,16
307,66,100,71,62,90,  filemaker,"filemaker, inc.",  aker,aker,0,4,15
308,66,100,41,32,90,  flash-slideshow-maker,flash-slideshow-maker.com,  aker,aker,0,4,25
309,66,100,60,50,90,  freegifmaker,freegifmaker,  aker,aker,0,4,12
310,83,100,44,35,90,  makerbot industries,"makerbot industries, llc",  aker,aker,0,4,24
311,66,100,44,35,90,  modelmaker tools bv,modelmaker tools bv,  aker,aker,0,4,19
312,66,100,71,62,90,  pathmaker,pathmaker,  aker,aker,0,4,9
313,66,100,75,67,90,  secmaker,secmaker ab,  aker,aker,0,4,11
314,66,100,71,62,90,  softmaker,softmaker software gmbh,  aker,aker,0,4,23
