,vendor_X,software_X,title_X,DisplayName0,release_X,Version0,fz_ratio,fz_ptl_ratio,fz_tok_set_ratio,fz_ptl_tok_sort_ratio,fz_uwratio,fz_rel_ratio,fz_rel_ptl_ratio,t_cve_name,titlX_len,DsplyNm0_len,match
10,acronis,true_image_echo_enterprise_server,Acronis True Image Echo Enterprise Server 9.7.8398,Acronis True Image,9.7.8398,-,36,83,100,38,90,0,0,cpe:/a:acronis:true_image_echo_enterprise_server:9.7.8398,50,18,0
11,acronis,true_image_echo_server,Acronis True Image Echo Server 9.7.8398,Acronis True Image,9.7.8398,-,44,83,100,49,90,0,0,cpe:/a:acronis:true_image_echo_server:9.7.8398,39,18,0
12,acronis,true_image_echo_workstation,Acronis True Image Echo Workstation 9.7.8206,Acronis True Image,9.7.8206,-,40,83,100,43,90,0,0,cpe:/a:acronis:true_image_echo_workstation:9.7.8206,44,18,0
13,acronis,true_image_management_console,Acronis True Image Management Console 9.7.8206,Acronis True Image,9.7.8206,-,38,83,100,42,90,0,0,cpe:/a:acronis:true_image_management_console:9.7.8206,46,18,0
14,acronis,true_image_server,Acronis True Image Server 9.1.3534,Acronis True Image,9.1.3534,-,50,83,100,56,90,0,0,cpe:/a:acronis:true_image_server:9.1.3534,34,18,0
15,acronis,universal_restore_for_true_image_echo_server,Acronis Universal Restore For True Image Echo Server 9.7.8206,Acronis True Image,9.7.8206,-,30,83,100,32,90,0,0,cpe:/a:acronis:universal_restore_for_true_image_echo_server:9.7.8206,61,18,0
16,acs,putty_connection_manager,Acs Putty Connection Manager 0.7.1.136beta,PuTTY Connection Manager 0.7.1.136beta,0.7.1.136beta,0.7.1.136beta,97,100,100,100,100,100,100,cpe:/a:acs:putty_connection_manager:0.7.1.136beta,42,38,1
17,activestate,activeperl,ActiveState ActivePerl 5.10.1002,ActivePerl 5.10.0 Build 1002,5.10.1002,5.10.1002,80,77,100,83,95,100,100,cpe:/a:activestate:activeperl:5.10.1002,32,28,1
18,activestate,activeperl,ActiveState ActivePerl 5.10.1005,ActivePerl 5.10.0 Build 1005,5.10.1005,5.10.1005,80,77,100,83,95,100,100,cpe:/a:activestate:activeperl:5.10.1005,32,28,1
19,activestate,activeperl,ActiveState ActivePerl 5.10.1006,ActivePerl 5.10.1 Build 1006 (64-bit),5.10.1006,5.10.1006,68,77,100,73,85,100,100,cpe:/a:activestate:activeperl:5.10.1006,32,37,1
20,activestate,activeperl,ActiveState ActivePerl 5.10.1007,ActivePerl 5.10.1 Build 1007,5.10.1007,5.10.1007,80,77,100,83,95,100,100,cpe:/a:activestate:activeperl:5.10.1007,32,28,1
21,activestate,activeperl,ActiveState ActivePerl 5.10.1008 (x64) 64-bit,ActivePerl 5.10.1 Build 1008,5.10.1008,5.10.1008,63,71,100,78,78,100,100,cpe:/a:activestate:activeperl:5.10.1008::~~~~x64~,45,28,1
22,activestate,activeperl,ActiveState ActivePerl 5.12.1201 (x64) 64-bit,ActivePerl 5.12.1 Build 1201,5.12.1201,5.12.1201,63,71,100,78,78,100,100,cpe:/a:activestate:activeperl:5.12.1201::~~~~x64~,45,28,1
23,activestate,activeperl,ActiveState ActivePerl 5.12.1202,ActivePerl 5.12.2 Build 1202,5.12.1202,5.12.1202,80,77,100,83,95,100,100,cpe:/a:activestate:activeperl:5.12.1202,32,28,1
24,activestate,activeperl,ActiveState ActivePerl 5.12.1202,ActivePerl 5.12.2 Build 1202 (64-bit),5.12.1202,5.12.1202,68,77,100,73,85,100,100,cpe:/a:activestate:activeperl:5.12.1202,32,37,1
25,activestate,activeperl,ActiveState ActivePerl 5.12.1203,ActivePerl 5.12.2 Build 1203,5.12.1203,5.12.1203,80,77,100,83,95,100,100,cpe:/a:activestate:activeperl:5.12.1203,32,28,1
26,activestate,activeperl,ActiveState ActivePerl 5.12.1203 (x64) 64-bit,ActivePerl 5.12.2 Build 1203,5.12.1203,5.12.1203,63,71,100,78,78,100,100,cpe:/a:activestate:activeperl:5.12.1203::~~~~x64~,45,28,1
27,activestate,activeperl,ActiveState ActivePerl 5.12.1203,ActivePerl 5.12.2 Build 1203 (64-bit),5.12.1203,5.12.1203,68,77,100,73,85,100,100,cpe:/a:activestate:activeperl:5.12.1203,32,37,1
28,activestate,activeperl,ActiveState ActivePerl 5.12.1203 (x64) 64-bit,ActivePerl 5.12.2 Build 1203 (64-bit),5.12.1203,5.12.1203,78,77,100,85,88,100,100,cpe:/a:activestate:activeperl:5.12.1203::~~~~x64~,45,37,1
29,activestate,activeperl,ActiveState ActivePerl 5.12.1204,ActivePerl 5.12.3 Build 1204,5.12.1204,5.12.1204,80,72,100,83,95,100,100,cpe:/a:activestate:activeperl:5.12.1204,32,28,1
30,activestate,activeperl,ActiveState ActivePerl 5.12.1204,ActivePerl 5.12.3 Build 1204 (64-bit),5.12.1204,5.12.1204,68,72,100,73,85,100,100,cpe:/a:activestate:activeperl:5.12.1204,32,37,1
31,activestate,activeperl,ActiveState ActivePerl 5.14.1402,ActivePerl 5.14.2 Build 1402,5.14.1402,5.14.1402,80,77,100,83,95,100,100,cpe:/a:activestate:activeperl:5.14.1402,32,28,1
32,activestate,activeperl,ActiveState ActivePerl 5.14.1402 (Build 1402) x64 (64-bit),ActivePerl 5.14.2 Build 1402,5.14.1402,5.14.1402,74,85,100,80,85,100,100,cpe:/a:activestate:activeperl:5.14.1402::~~~~x64~,58,28,1
33,activestate,activeperl,ActiveState ActivePerl 5.14.1402,ActivePerl 5.14.2 Build 1402 (64-bit),5.14.1402,5.14.1402,68,77,100,73,85,100,100,cpe:/a:activestate:activeperl:5.14.1402,32,37,1
34,activestate,activeperl,ActiveState ActivePerl 5.14.1402 (Build 1402) x64 (64-bit),ActivePerl 5.14.2 Build 1402 (64-bit),5.14.1402,5.14.1402,87,83,100,91,92,100,100,cpe:/a:activestate:activeperl:5.14.1402::~~~~x64~,58,37,1
35,activestate,activeperl,ActiveState ActivePerl 5.6.638,ActivePerl 5.6.1 Build 638,5.6.638,5.6.638,78,75,100,82,95,100,100,cpe:/a:activestate:activeperl:5.6.638,30,26,1
36,activestate,activeperl,ActiveState ActivePerl 5.8.809,ActivePerl 5.8.3 Build 809,5.8.809,5.8.809,78,75,100,82,95,100,100,cpe:/a:activestate:activeperl:5.8.809,30,26,1
37,activestate,activeperl,ActiveState ActivePerl 5.8.810,ActivePerl 5.8.4 Build 810,5.8.810,5.8.810,78,75,100,82,95,100,100,cpe:/a:activestate:activeperl:5.8.810,30,26,1
38,activestate,activeperl,ActiveState ActivePerl 5.8.819,ActivePerl 5.8.8 Build 819,5.8.819,5.8.819,78,80,100,82,95,100,100,cpe:/a:activestate:activeperl:5.8.819,30,26,1
39,activestate,activeperl,ActiveState ActivePerl 5.8.820,ActivePerl 5.8.8 Build 820,5.8.820,5.8.820,78,80,100,82,95,100,100,cpe:/a:activestate:activeperl:5.8.820,30,26,1
40,activestate,activeperl,ActiveState ActivePerl 5.8.820,ActivePerl 5.8.8 Build 820 (64-bit),5.8.820,5.8.820,65,80,100,71,85,100,100,cpe:/a:activestate:activeperl:5.8.820,30,35,1
41,activestate,activeperl,ActiveState ActivePerl 5.8.827,ActivePerl 5.8.9 Build 827,5.8.827,5.8.827,78,75,100,82,95,100,100,cpe:/a:activestate:activeperl:5.8.827,30,26,1
42,activestate,activeperl,ActiveState ActivePerl 5.8.828,ActivePerl 5.8.9 Build 828 (64-bit),5.8.828,5.8.828,65,75,100,71,85,100,100,cpe:/a:activestate:activeperl:5.8.828,30,35,1
43,activestate,activepython,ActiveState Activepython 2.6.5.12,ActiveState ActivePython 2.6.5.12 (64-bit),2.6.5.12,2.6.5.12,84,100,100,86,95,100,100,cpe:/a:activestate:activepython:2.6.5.12,33,42,1
44,activestate,komodo_edit,ActiveState Komodo Edit 6.1.1,ActiveState Komodo Edit 6.1.1,6.1.1,6.1.1,100,100,100,100,100,100,100,cpe:/a:activestate:komodo_edit:6.1.1,29,29,1
45,activestate,activeperl_pdk,ActiveState ActivePerl Pdk 9.0.1,ActiveState Komodo Edit 9.0.1,9.0.1,9.0.1,49,42,100,49,46,100,100,cpe:/a:activestate:activeperl_pdk:9.0.1,32,29,1
46,activestate,komodo_edit,ActiveState Komodo Edit 5.2.4,ActiveState Komodo IDE 5.2.4,5.2.4,5.2.4,86,83,100,85,85,100,100,cpe:/a:activestate:komodo_edit:5.2.4,29,28,1
47,activestate,komodo_edit,ActiveState Komodo Edit 6.0.3,ActiveState Komodo IDE 6.0.3,6.0.3,6.0.3,86,83,100,85,85,100,100,cpe:/a:activestate:komodo_edit:6.0.3,29,28,1
48,activestate,komodo_edit,ActiveState Komodo Edit 6.1.1,ActiveState Komodo IDE 6.1.1,6.1.1,6.1.1,86,83,100,85,85,100,100,cpe:/a:activestate:komodo_edit:6.1.1,29,28,1
49,activestate,activeperl_pdk,ActiveState ActivePerl Pdk 9.0.1,ActiveState Komodo IDE 9.0.1,9.0.1,9.0.1,50,44,100,56,53,100,100,cpe:/a:activestate:activeperl_pdk:9.0.1,32,28,1
50,adobe,adobe_air,Adobe Integrated Runtime (AIR) 1.0.4990,Adobe AIR,1.0.4990,1.0.4990,25,80,100,18,60,100,100,cpe:/a:adobe:adobe_air:1.0.4990,39,9,1
51,adobe,adobe_air,Adobe Integrated Runtime (AIR) 1.0.8.4990,Adobe AIR,1.0.8.4990,1.0.8.4990,24,80,100,17,60,100,100,cpe:/a:adobe:adobe_air:1.0.8.4990,41,9,1
52,adobe,adobe_air,Adobe Integrated Runtime (AIR) 1.1.0.5790,Adobe AIR,1.1.0.5790,1.1.0.5790,24,80,100,17,60,100,100,cpe:/a:adobe:adobe_air:1.1.0.5790,41,9,1
53,adobe,adobe_air,Adobe Integrated Runtime (AIR) 1.5.0.7220,Adobe AIR,1.5.0.7220,1.5.0.7220,24,80,100,17,60,100,100,cpe:/a:adobe:adobe_air:1.5.0.7220,41,9,1
54,adobe,adobe_air,Adobe Adobe Integrated Runtime (AIR) 1.5.3.9120,Adobe AIR,1.5.3.9120,1.5.3.9120,23,80,100,17,60,100,100,cpe:/a:adobe:adobe_air:1.5.3.9120,47,9,1
55,adobe,adobe_air,Adobe Integrated Runtime (AIR) 1.5.3.9130,Adobe AIR,1.5.3.9130,1.5.3.9130,24,80,100,17,60,100,100,cpe:/a:adobe:adobe_air:1.5.3.9130,41,9,1
56,adobe,adobe_air,Adobe Adobe Integrated Runtime (AIR) 13.0.0.111,Adobe AIR,13.0.0.111,13.0.0.111,23,80,100,17,60,100,100,cpe:/a:adobe:adobe_air:13.0.0.111,47,9,1
57,adobe,adobe_air_sdk,Adobe Adobe Integrated Runtime (AIR) SDK 13.0.0.111,Adobe AIR,13.0.0.111,13.0.0.111,21,80,100,15,60,100,100,cpe:/a:adobe:adobe_air_sdk:13.0.0.111,51,9,0
58,adobe,adobe_air,Adobe Adobe Integrated Runtime (AIR) 13.0.0.83,Adobe AIR,13.0.0.83,13.0.0.83,23,80,100,17,60,100,100,cpe:/a:adobe:adobe_air:13.0.0.83,46,9,1
59,adobe,adobe_air_sdk,Adobe Adobe Integrated Runtime (AIR) SDK 13.0.0.83,Adobe AIR,13.0.0.83,13.0.0.83,21,80,100,15,60,100,100,cpe:/a:adobe:adobe_air_sdk:13.0.0.83,50,9,0
60,adobe,adobe_air,Adobe Adobe Integrated Runtime (AIR) 14.0.0.110,Adobe AIR,14.0.0.110,14.0.0.110,23,80,100,17,60,100,100,cpe:/a:adobe:adobe_air:14.0.0.110,47,9,1
61,adobe,adobe_air_sdk,Adobe Adobe Integrated Runtime (AIR) SDK 14.0.0.110,Adobe AIR,14.0.0.110,14.0.0.110,21,80,100,15,60,100,100,cpe:/a:adobe:adobe_air_sdk:14.0.0.110,51,9,0
62,adobe,air,Adobe AIR 15.0.0.293,Adobe AIR,15.0.0.293,15.0.0.293,48,100,100,35,90,100,100,cpe:/a:adobe:air:15.0.0.293,20,9,1
63,adobe,air,Adobe AIR 18.0.0.180,Adobe AIR,18.0.0.180,18.0.0.180,48,100,100,35,90,100,100,cpe:/a:adobe:air:18.0.0.180,20,9,1
64,adobe,air_sdk,Adobe AIR SDK 18.0.0.180,Adobe AIR,18.0.0.180,18.0.0.180,40,100,100,29,90,100,100,cpe:/a:adobe:air_sdk:18.0.0.180,24,9,1
65,adobe,air_sdk_\&_compiler,Adobe AIR SDK & Compiler 18.0.0.180,Adobe AIR,18.0.0.180,18.0.0.180,28,100,100,20,60,100,100,cpe:/a:adobe:air_sdk_%26_compiler:18.0.0.180,35,9,0
66,adobe,adobe_air,Adobe Integrated Runtime (AIR) 2.5.0.16600,Adobe AIR,2.5.0.16600,2.5.0.16600,23,80,100,16,60,100,100,cpe:/a:adobe:adobe_air:2.5.0.16600,42,9,1
67,adobe,adobe_air,Adobe Integrated Runtime (AIR) 2.5.1.17730,Adobe AIR,2.5.1.17730,2.5.1.17730,23,80,100,16,60,100,100,cpe:/a:adobe:adobe_air:2.5.1.17730,42,9,1
68,adobe,adobe_air,Adobe Integrated Runtime (AIR) 2.6.0.19120,Adobe AIR,2.6.0.19120,2.6.0.19120,23,80,100,16,60,100,100,cpe:/a:adobe:adobe_air:2.6.0.19120,42,9,1
69,adobe,adobe_air,Adobe Integrated Runtime (AIR) 2.6.0.19140,Adobe AIR,2.6.0.19140,2.6.0.19140,23,80,100,16,60,100,100,cpe:/a:adobe:adobe_air:2.6.0.19140,42,9,1
70,adobe,adobe_air,Adobe Integrated Runtime (AIR) 2.7.0.19480,Adobe AIR,2.7.0.19480,2.7.0.19480,23,80,100,16,60,100,100,cpe:/a:adobe:adobe_air:2.7.0.19480,42,9,1
71,adobe,adobe_air,Adobe Integrated Runtime (AIR) 2.7.0.19530,Adobe AIR,2.7.0.19530,2.7.0.19530,23,80,100,16,60,100,100,cpe:/a:adobe:adobe_air:2.7.0.19530,42,9,1
72,adobe,adobe_air,Adobe Adobe Integrated Runtime (AIR) 2.7.1.19610,Adobe AIR,2.7.1.19610,2.7.1.19610,22,80,100,16,60,100,100,cpe:/a:adobe:adobe_air:2.7.1.19610,48,9,1
73,adobe,adobe_air,Adobe Integrated Runtime (AIR) 3.0.0.4080,Adobe AIR,3.0.0.4080,3.0.0.4080,24,80,100,17,60,100,100,cpe:/a:adobe:adobe_air:3.0.0.4080,41,9,1
74,adobe,adobe_air_sdk,Adobe Adobe Integrated Runtime (AIR) SDK 3.0.0.4080,Adobe AIR,3.0.0.4080,3.0.0.4080,21,80,100,15,60,100,100,cpe:/a:adobe:adobe_air_sdk:3.0.0.4080,51,9,0
75,adobe,adobe_air,Adobe Integrated Runtime (AIR) 3.1.0.4880,Adobe AIR,3.1.0.4880,3.1.0.4880,24,80,100,17,60,100,100,cpe:/a:adobe:adobe_air:3.1.0.4880,41,9,1
76,adobe,adobe_air_sdk,Adobe Adobe Integrated Runtime (AIR) SDK 3.1.0.488,Adobe AIR,3.1.0.488,3.1.0.4880,21,80,100,15,60,95,100,cpe:/a:adobe:adobe_air_sdk:3.1.0.488,50,9,0
77,adobe,adobe_air_sdk,Adobe Adobe Integrated Runtime (AIR) SDK 3.2.0.2070,Adobe AIR,3.2.0.2070,3.2.0.2070,21,80,100,15,60,100,100,cpe:/a:adobe:adobe_air_sdk:3.2.0.2070,51,9,0
78,adobe,adobe_air_sdk,Adobe Adobe Integrated Runtime (AIR) SDK 3.3.0.3650,Adobe AIR,3.3.0.3650,3.3.0.3650,21,80,100,15,60,100,100,cpe:/a:adobe:adobe_air_sdk:3.3.0.3650,51,9,0
79,adobe,adobe_air,Adobe Adobe Integrated Runtime (AIR) 3.3.0.3670,Adobe AIR,3.3.0.3670,3.3.0.3670,23,80,100,17,60,100,100,cpe:/a:adobe:adobe_air:3.3.0.3670,47,9,1
80,adobe,adobe_air,Adobe Adobe Integrated Runtime (AIR) 3.4.0.2540,Adobe AIR,3.4.0.2540,3.4.0.2540,23,80,100,17,60,100,100,cpe:/a:adobe:adobe_air:3.4.0.2540,47,9,1
81,adobe,adobe_air_sdk,Adobe Adobe Integrated Runtime (AIR) SDK 3.4.0.2540,Adobe AIR,3.4.0.2540,3.4.0.2540,21,80,100,15,60,100,100,cpe:/a:adobe:adobe_air_sdk:3.4.0.2540,51,9,0
82,adobe,adobe_air,Adobe Adobe Integrated Runtime (AIR) 3.4.0.2710,Adobe AIR,3.4.0.2710,3.4.0.2710,23,80,100,17,60,100,100,cpe:/a:adobe:adobe_air:3.4.0.2710,47,9,1
83,adobe,adobe_air_sdk,Adobe Adobe Integrated Runtime (AIR) SDK 3.4.0.2710,Adobe AIR,3.4.0.2710,3.4.0.2710,21,80,100,15,60,100,100,cpe:/a:adobe:adobe_air_sdk:3.4.0.2710,51,9,0
84,adobe,adobe_air,Adobe Adobe Integrated Runtime (AIR) 3.5.0.1060,Adobe AIR,3.5.0.1060,3.5.0.1060,23,80,100,17,60,100,100,cpe:/a:adobe:adobe_air:3.5.0.1060,47,9,1
85,adobe,adobe_air_sdk,Adobe Adobe Integrated Runtime (AIR) SDK 3.5.0.1060,Adobe AIR,3.5.0.1060,3.5.0.1060,21,80,100,15,60,100,100,cpe:/a:adobe:adobe_air_sdk:3.5.0.1060,51,9,0
86,adobe,adobe_air,Adobe Adobe Integrated Runtime (AIR) 3.5.0.600,Adobe AIR,3.5.0.600,3.5.0.600,23,80,100,17,60,100,100,cpe:/a:adobe:adobe_air:3.5.0.600,46,9,1
87,adobe,adobe_air_sdk,Adobe Adobe Integrated Runtime (AIR) SDK 3.5.0.600,Adobe AIR,3.5.0.600,3.5.0.600,21,80,100,15,60,100,100,cpe:/a:adobe:adobe_air_sdk:3.5.0.600,50,9,0
88,adobe,adobe_air,Adobe Adobe Integrated Runtime (AIR) 3.5.0.880,Adobe AIR,3.5.0.880,3.5.0.880,23,80,100,17,60,100,100,cpe:/a:adobe:adobe_air:3.5.0.880,46,9,1
89,adobe,adobe_air_sdk,Adobe Adobe Integrated Runtime (AIR) SDK 3.5.0.880,Adobe AIR,3.5.0.880,3.5.0.880,21,80,100,15,60,100,100,cpe:/a:adobe:adobe_air_sdk:3.5.0.880,50,9,0
90,adobe,adobe_air,Adobe Adobe Integrated Runtime (AIR) 3.6.0.597,Adobe AIR,3.6.0.597,3.6.0.5970,23,80,100,17,60,95,100,cpe:/a:adobe:adobe_air:3.6.0.597,46,9,1
91,adobe,adobe_air,Adobe Adobe Integrated Runtime (AIR) 3.6.0.6090,Adobe AIR,3.6.0.6090,3.6.0.6090,23,80,100,17,60,100,100,cpe:/a:adobe:adobe_air:3.6.0.6090,47,9,1
92,adobe,adobe_air_sdk,Adobe Adobe Integrated Runtime (AIR) SDK 3.6.0.6090,Adobe AIR,3.6.0.6090,3.6.0.6090,21,80,100,15,60,100,100,cpe:/a:adobe:adobe_air_sdk:3.6.0.6090,51,9,0
93,adobe,adobe_air,Adobe Adobe Integrated Runtime (AIR) 3.7.0.1530,Adobe AIR,3.7.0.1530,3.7.0.1530,23,80,100,17,60,100,100,cpe:/a:adobe:adobe_air:3.7.0.1530,47,9,1
94,adobe,adobe_air_sdk,Adobe Adobe Integrated Runtime (AIR) SDK 3.7.0.1530,Adobe AIR,3.7.0.1530,3.7.0.1530,21,80,100,15,60,100,100,cpe:/a:adobe:adobe_air_sdk:3.7.0.1530,51,9,0
95,adobe,adobe_air,Adobe Adobe Integrated Runtime (AIR) 3.7.0.1860,Adobe AIR,3.7.0.1860,3.7.0.1860,23,80,100,17,60,100,100,cpe:/a:adobe:adobe_air:3.7.0.1860,47,9,1
96,adobe,adobe_air_sdk,Adobe Adobe Integrated Runtime (AIR) SDK 3.7.0.1860,Adobe AIR,3.7.0.1860,3.7.0.1860,21,80,100,15,60,100,100,cpe:/a:adobe:adobe_air_sdk:3.7.0.1860,51,9,0
97,adobe,adobe_air,Adobe Adobe Integrated Runtime (AIR) 3.7.0.2090,Adobe AIR,3.7.0.2090,3.7.0.2090,23,80,100,17,60,100,100,cpe:/a:adobe:adobe_air:3.7.0.2090,47,9,1
98,adobe,adobe_air_sdk,Adobe Adobe Integrated Runtime (AIR) SDK 3.7.0.2090,Adobe AIR,3.7.0.2090,3.7.0.2090,21,80,100,15,60,100,100,cpe:/a:adobe:adobe_air_sdk:3.7.0.2090,51,9,0
99,adobe,adobe_air_sdk,Adobe Adobe Integrated Runtime (AIR) SDK 3.8.0.1430,Adobe AIR,3.8.0.1430,3.8.0.1430,21,80,100,15,60,100,100,cpe:/a:adobe:adobe_air_sdk:3.8.0.1430,51,9,0
100,adobe,adobe_air,Adobe Adobe Integrated Runtime (AIR) 3.8.0.870,Adobe AIR,3.8.0.870,3.8.0.870,23,80,100,17,60,100,100,cpe:/a:adobe:adobe_air:3.8.0.870,46,9,1
101,adobe,adobe_air_sdk,Adobe Adobe Integrated Runtime (AIR) SDK 3.8.0.870,Adobe AIR,3.8.0.870,3.8.0.870,21,80,100,15,60,100,100,cpe:/a:adobe:adobe_air_sdk:3.8.0.870,50,9,0
102,adobe,adobe_air,Adobe Adobe Integrated Runtime (AIR) 3.9.0.1030,Adobe AIR,3.9.0.1030,3.9.0.1030,23,80,100,17,60,100,100,cpe:/a:adobe:adobe_air:3.9.0.1030,47,9,1
103,adobe,adobe_air_sdk,Adobe Adobe Integrated Runtime (AIR) SDK 3.9.0.1030,Adobe AIR,3.9.0.1030,3.9.0.1030,21,80,100,15,60,100,100,cpe:/a:adobe:adobe_air_sdk:3.9.0.1030,51,9,0
104,adobe,adobe_air,Adobe Adobe Integrated Runtime (AIR) 3.9.0.1210,Adobe AIR,3.9.0.1210,3.9.0.1210,23,80,100,17,60,100,100,cpe:/a:adobe:adobe_air:3.9.0.1210,47,9,1
105,adobe,adobe_air_sdk,Adobe Adobe Integrated Runtime (AIR) SDK 3.9.0.1210,Adobe AIR,3.9.0.1210,3.9.0.1210,21,80,100,15,60,100,100,cpe:/a:adobe:adobe_air_sdk:3.9.0.1210,51,9,0
106,adobe,adobe_air,Adobe Adobe Integrated Runtime (AIR) 3.9.0.1380,Adobe AIR,3.9.0.1380,3.9.0.1380,23,80,100,17,60,100,100,cpe:/a:adobe:adobe_air:3.9.0.1380,47,9,1
107,adobe,adobe_air_sdk,Adobe Adobe Integrated Runtime (AIR) SDK 3.9.0.1380,Adobe AIR,3.9.0.1380,3.9.0.1380,21,80,100,15,60,100,100,cpe:/a:adobe:adobe_air_sdk:3.9.0.1380,51,9,0
108,adobe,adobe_air,Adobe Adobe Integrated Runtime (AIR) 4.0.0.1390,Adobe AIR,4.0.0.1390,4.0.0.1390,23,80,100,17,60,100,100,cpe:/a:adobe:adobe_air:4.0.0.1390,47,9,1
109,adobe,adobe_air_sdk,Adobe Adobe Integrated Runtime (AIR) SDK 4.0.0.1390,Adobe AIR,4.0.0.1390,4.0.0.1390,21,80,100,15,60,100,100,cpe:/a:adobe:adobe_air_sdk:4.0.0.1390,51,9,0
110,adobe,customization_wizard,Adobe Customization Wizard 9.0.0,"Adobe Acrobat  9 Standard - English, Français, Deutsch",9.0.0,9.0.0,28,39,100,35,85,100,100,cpe:/a:adobe:customization_wizard:9.0.0,32,54,0
111,adobe,japanese_fonts_support_for_adobe_reader,Adobe Japanese Fonts Support For Adobe Reader 9.0.0,"Adobe Acrobat  9 Standard - English, Français, Deutsch",9.0.0,9.0.0,34,34,100,37,36,100,100,cpe:/a:adobe:japanese_fonts_support_for_adobe_reader:9.0.0,51,54,0
112,adobe,pdf_creation_add-on,Adobe PDF Creation Add-on 9.0.0,"Adobe Acrobat  9 Standard - English, Français, Deutsch",9.0.0,9.0.0,34,44,100,35,85,100,100,cpe:/a:adobe:pdf_creation_add-on:9.0.0,31,54,0
113,adobe,pdf_ifilter,Adobe PDF IFilter 9.0.0 (x64) 64-bit,"Adobe Acrobat  9 Standard - English, Français, Deutsch",9.0.0,9.0.0,24,28,100,31,85,100,100,cpe:/a:adobe:pdf_ifilter:9.0.0::~~~~x64~,36,54,0
114,adobe,reader_extended_language_support_font_pack,Adobe Reader Extended Language Support Font Pack 9.0.0,"Adobe Acrobat  9 Standard - English, Français, Deutsch",9.0.0,9.0.0,36,36,100,33,35,100,100,cpe:/a:adobe:reader_extended_language_support_font_pack:9.0.0,54,54,0
115,adobe,spelling_dictionaries_support_for_adobe_reader,Adobe Spelling Dictionaries Support For Adobe Reader 9.0.0,"Adobe Acrobat  9 Standard - English, Français, Deutsch",9.0.0,9.0.0,32,32,100,36,35,100,100,cpe:/a:adobe:spelling_dictionaries_support_for_adobe_reader:9.0.0,58,54,0
116,adobe,acrobat,Adobe Acrobat 9.3.3,"Adobe Acrobat  9 Standard - English, Français, Deutsch",9.3.3,9.3.3,34,73,100,32,85,100,100,cpe:/a:adobe:acrobat:9.3.3,19,54,1
117,adobe,acrobat_reader,Adobe Acrobat Reader 9.3.3,"Adobe Acrobat  9 Standard - English, Français, Deutsch",9.3.3,9.3.3,42,63,100,44,85,100,100,cpe:/a:adobe:acrobat_reader:9.3.3,26,54,0
118,adobe,customization_wizard,Adobe Customization Wizard 9.0.0,"Adobe Acrobat  9 Standard - Italiano, Español, Nederlands, Português",9.0.0,9.0.0,30,39,100,34,85,100,100,cpe:/a:adobe:customization_wizard:9.0.0,32,68,0
